Date,Opening,High,Closing,Low,Volume
2013-12-19,12.350,12.450,12.270,12.250,23856
2013-12-20,12.290,12.340,12.120,12.040,23424
2013-12-23,12.160,12.320,12.230,11.910,24285
2013-12-24,12.230,12.410,12.230,12.200,21533
2013-12-25,12.270,12.310,12.300,12.180,24219
2013-12-26,12.310,12.310,12.020,12.010,31103
2013-12-27,12.050,12.370,12.310,12.020,34517
2013-12-30,12.370,12.430,12.300,12.250,25295
2013-12-31,12.300,12.400,12.320,12.170,24159
2014-01-02,12.300,12.330,12.320,12.150,26228
2014-01-03,12.210,12.280,11.840,11.770,56698
2014-01-06,11.700,11.700,11.350,11.250,40038
2014-01-07,11.280,11.520,11.420,11.210,23213
2014-01-08,11.450,11.560,11.460,11.310,22659
2014-01-09,11.460,11.480,11.120,11.090,24064
2014-01-10,11.100,11.250,11.240,11.020,21084
2014-01-13,11.200,11.360,11.250,11.130,14529
2014-01-14,11.260,11.410,11.410,11.100,18963
2014-01-15,11.410,12.050,11.930,11.380,76178
2014-01-16,11.820,12.270,12.140,11.820,62881
2014-01-17,12.000,12.260,12.020,11.900,40834
2014-01-20,12.030,12.040,11.610,11.600,23624
2014-01-21,11.660,11.860,11.820,11.660,24079
2014-01-22,11.860,12.100,12.030,11.710,33885
2014-01-23,12.040,12.470,12.430,12.040,70194
2014-01-24,12.380,13.290,12.970,12.380,113502
2014-01-27,13.010,13.250,13.110,12.810,68981
2014-01-28,13.030,13.230,13.000,12.850,33351
2014-01-29,13.000,13.330,13.210,12.850,65158
2014-01-30,13.180,13.350,13.060,13.030,38535
2014-02-07,13.060,14.020,13.940,13.000,108386
2014-02-10,14.010,15.330,15.130,14.010,314370
2014-02-11,15.130,15.370,14.860,14.550,184807
2014-02-12,14.810,15.150,14.920,14.560,125217
2014-02-13,14.800,15.600,14.830,14.660,177299
2014-02-14,14.660,15.150,15.130,14.600,92520
2014-02-17,15.450,15.720,15.270,14.950,151199
2014-02-18,15.290,15.290,15.000,14.750,116482
2014-02-19,15.010,15.280,15.020,14.680,87952
2014-02-20,15.020,15.110,14.390,14.360,95975
2014-02-21,14.450,14.560,14.260,14.050,67597
2014-02-24,14.150,14.570,14.540,13.950,78515
2014-02-25,14.530,14.860,13.920,13.600,119747
2014-02-26,14.110,15.310,15.310,14.010,263449
2014-02-27,15.840,16.840,16.370,15.550,529652
2014-02-28,16.150,18.010,18.010,15.880,495917
2014-03-03,18.380,19.080,17.950,17.720,451072
2014-03-04,18.240,19.750,19.750,18.030,496778
2014-03-05,19.380,19.640,19.460,18.850,320623
2014-03-06,19.150,19.300,18.140,17.600,298046
2014-03-07,17.990,19.500,18.380,17.900,340260
2014-03-10,17.800,18.290,17.220,17.020,216087
2014-03-11,17.020,17.450,16.730,16.240,263010
2014-03-12,16.570,17.430,16.910,15.850,329022
2014-03-13,16.580,17.780,17.370,16.120,329827
2014-03-14,17.000,17.680,16.930,16.740,170841
2014-03-17,16.900,18.620,18.450,16.800,340428
2014-03-18,18.250,19.040,18.320,18.030,306743
2014-03-19,18.080,18.750,18.620,17.910,182695
2014-03-20,18.350,18.390,17.200,16.900,244481
2014-03-21,17.100,18.200,17.800,16.700,180392
2014-03-24,17.600,18.100,18.040,17.330,129492
2014-03-25,17.700,18.420,18.110,17.520,135080
2014-03-26,18.090,18.860,18.210,17.890,191303
2014-03-27,17.790,17.800,16.980,16.930,155866
2014-03-28,17.090,17.150,15.890,15.810,147742
2014-03-31,15.820,16.450,16.020,15.700,73217
2014-04-01,16.090,16.300,16.150,15.730,72975
2014-04-02,16.150,16.280,15.810,15.590,91433
2014-04-03,15.830,16.070,15.820,15.650,75767
2014-04-04,15.740,16.100,16.010,15.660,65723
2014-04-08,15.860,16.270,16.260,15.700,96978
2014-04-09,16.350,16.550,16.350,16.190,80765
2014-04-10,16.380,17.310,17.010,16.150,162927
2014-04-11,16.600,17.240,16.890,16.580,100023
2014-04-14,16.800,17.260,17.080,16.800,74141
2014-04-15,17.020,17.060,16.730,16.500,66930
2014-04-16,16.520,16.980,16.420,16.380,57801
2014-04-17,16.410,16.970,16.710,16.410,53698
2014-04-18,16.520,17.200,17.180,16.520,77305
2014-04-21,17.030,17.660,17.280,16.920,115665
2014-04-22,17.150,17.310,15.550,15.550,254466
2014-04-23,15.360,15.480,14.790,14.680,151685
2014-04-24,14.800,15.030,14.720,14.530,64803
2014-04-25,14.700,14.820,14.020,13.820,107778
2014-04-28,14.060,14.150,13.950,13.680,77564
2014-04-29,14.000,14.350,14.320,13.840,59856
2014-04-30,14.260,14.450,14.340,14.020,68154
2014-05-05,14.300,14.350,14.330,13.900,57024
2014-05-06,14.360,14.820,14.640,14.330,98300
2014-05-07,14.580,14.740,14.200,14.190,69551
2014-05-08,14.100,14.690,14.390,14.010,61625
2014-05-09,14.760,15.160,14.800,14.400,161417
2014-05-12,14.880,15.530,15.450,14.610,176733
2014-05-13,15.360,15.360,14.980,14.840,120590
2014-05-14,14.990,15.090,14.980,14.760,52833
2014-05-15,14.930,14.930,13.950,13.910,115055
2014-05-16,13.860,14.100,14.050,13.720,62620
2014-05-19,14.060,14.090,13.870,13.830,25422
2014-05-20,14.000,14.210,13.980,13.910,37226
2014-05-21,13.960,14.350,14.260,13.860,43021
2014-05-22,14.280,14.590,14.260,14.210,64119
2014-05-23,14.260,14.580,14.570,14.150,78215
2014-05-26,15.260,15.580,15.080,14.850,144548
2014-05-27,14.940,15.280,14.970,14.770,65822
2014-05-28,14.960,15.280,15.130,14.910,86044
2014-05-29,15.100,15.250,14.830,14.800,69492
2014-05-30,14.750,15.130,14.960,14.610,43604
2014-06-03,15.000,15.200,14.910,14.820,42308
2014-06-04,14.960,14.960,14.370,14.180,61132
2014-06-05,14.390,14.750,14.740,14.170,50501
2014-06-06,14.740,14.830,14.490,14.380,38544
2014-06-09,14.510,14.770,14.500,14.450,36117
2014-06-10,14.520,14.710,14.640,14.230,46638
2014-06-11,14.680,15.080,15.070,14.630,76110
2014-06-12,14.980,15.060,14.810,14.760,47656
2014-06-13,14.830,16.150,15.820,14.800,202873
2014-06-16,15.690,16.350,15.810,15.650,171225
2014-06-17,15.870,16.050,15.630,15.520,98822
2014-06-18,15.730,16.000,15.810,15.460,93731
2014-06-19,15.780,15.940,15.090,14.800,89648
2014-06-20,15.020,15.930,15.720,14.960,106896
2014-06-23,15.820,16.320,16.080,15.640,116729
2014-06-24,16.160,16.720,16.560,16.150,120364
2014-06-25,16.550,16.580,16.230,16.050,61696
2014-06-26,16.200,16.590,16.430,16.150,70559
2014-06-27,16.450,17.550,17.190,16.360,169864
2014-06-30,17.260,17.370,17.190,16.800,100717
2014-07-01,17.090,17.570,17.360,17.090,120527
2014-07-02,17.270,17.610,17.410,17.080,88210
2014-07-03,17.430,18.370,17.890,17.200,138653
2014-07-04,17.890,18.110,17.330,17.260,109267
2014-07-07,17.210,17.390,16.900,16.880,69921
2014-07-08,16.850,18.350,17.840,16.740,146696
2014-07-09,17.800,18.070,17.160,16.600,111697
2014-07-10,17.480,17.700,17.260,16.800,136881
2014-07-11,17.020,18.790,17.970,16.850,145614
2014-07-14,18.260,19.520,19.090,18.260,201637
2014-07-15,18.800,19.090,18.710,18.330,122108
2014-07-16,18.820,19.460,18.940,18.380,143993
2014-07-17,18.720,18.750,18.350,18.050,72200
2014-07-18,18.310,19.680,19.220,18.120,178271
2014-07-21,19.130,19.400,19.370,18.700,82828
2014-07-22,19.350,20.780,19.980,19.120,257266
2014-07-23,20.040,20.040,19.760,19.480,104473
2014-07-24,19.620,19.970,19.320,18.880,105812
2014-07-25,19.340,19.600,19.400,18.950,66009
2014-07-28,19.270,19.620,19.500,18.820,119876
2014-07-29,19.490,20.400,19.750,19.320,156650
2014-07-30,19.410,20.230,19.780,19.170,130002
2014-07-31,19.690,20.160,19.760,19.550,89453
2014-08-01,19.780,20.150,19.200,19.050,104673
2014-08-04,19.150,19.420,19.260,18.970,89957
2014-08-05,19.280,19.300,18.850,18.510,107254
2014-08-06,18.820,19.230,19.150,18.630,93532
2014-08-07,19.290,19.360,18.860,18.830,58757
2014-08-08,18.860,19.200,19.020,18.650,56476
2014-08-11,18.920,20.180,20.160,18.920,137241
2014-08-12,19.990,20.340,20.080,19.860,79420
2014-08-13,19.850,20.080,19.660,19.400,67865
2014-08-14,19.780,19.880,19.090,18.980,72209
2014-08-15,19.090,19.310,19.090,18.950,52293
2014-08-18,19.060,19.660,19.310,19.060,65611
2014-08-19,19.350,19.830,19.780,19.220,80089
2014-08-20,19.800,20.080,19.770,19.400,73929
2014-08-21,19.640,19.780,19.300,18.900,79822
2014-08-22,19.290,19.320,19.110,18.690,80813
2014-08-25,19.100,19.220,19.110,18.830,40995
2014-08-26,19.050,19.260,18.540,18.300,54239
2014-08-27,18.500,18.790,18.580,18.450,30934
2014-08-28,18.600,18.670,18.600,18.170,40679
2014-08-29,18.600,18.930,18.920,18.540,27848
2014-09-01,18.950,19.200,19.110,18.900,34638
2014-09-02,19.120,19.420,19.350,19.070,53726
2014-09-03,19.500,19.620,19.310,19.110,52272
2014-09-04,19.290,19.420,19.320,19.100,68305
2014-09-05,19.380,19.400,19.180,19.000,56474
2014-09-09,19.200,19.930,19.800,19.200,116362
2014-09-10,19.560,19.790,19.640,19.400,63209
2014-09-11,19.550,19.830,19.290,19.100,77704
2014-09-12,19.260,19.430,19.290,19.160,52587
2014-09-15,19.290,19.300,19.130,18.920,70755
2014-09-16,19.020,19.110,18.080,18.050,83757
2014-09-17,18.170,18.240,17.630,17.080,128032
2014-09-18,17.550,17.900,17.880,17.500,57652
2014-09-19,17.870,18.110,18.060,17.780,40617
2014-09-22,18.080,18.090,17.420,17.300,48523
2014-09-23,17.360,17.600,17.450,17.140,74484
2014-09-24,17.320,17.920,17.840,17.300,67842
2014-09-25,17.810,17.990,17.710,17.500,83604
2014-09-26,17.580,17.740,17.460,17.320,84706
2014-09-29,17.570,17.840,17.700,17.560,82645
2014-09-30,17.760,18.130,18.060,17.690,91770
2014-10-08,18.140,18.340,18.250,17.960,61886
2014-10-09,18.260,18.900,18.830,18.240,127809
2014-10-10,18.600,18.820,18.560,18.480,78132
2014-10-13,18.500,18.770,18.590,18.300,59759
2014-10-14,18.580,18.720,18.370,18.240,72811
2014-10-15,18.350,18.790,18.720,18.170,76258
2014-10-16,18.530,18.700,18.160,18.150,68696
2014-10-17,18.160,18.260,18.200,17.640,74798
2014-10-20,18.050,18.490,18.310,18.000,42833
2014-10-21,18.270,18.360,18.000,17.810,38472
2014-10-22,17.980,18.170,17.770,17.600,34430
2014-10-23,17.770,18.270,18.170,17.770,75508
2014-10-24,18.100,18.360,18.070,17.970,40952
2014-10-27,18.020,18.120,17.970,17.700,36785
2014-10-28,18.060,18.610,18.590,17.930,78204
2014-10-29,18.700,19.190,19.140,18.500,176398
2014-10-30,19.060,19.170,18.790,18.710,102443
2014-10-31,18.790,18.970,18.740,18.410,82967
2014-11-03,18.190,18.200,17.630,17.350,276250
2014-11-04,17.500,17.540,17.250,17.120,133394
2014-11-05,17.250,17.370,17.280,17.140,80300
2014-11-06,17.270,17.290,17.150,16.760,112379
2014-11-07,17.160,17.230,17.170,16.840,83628
2014-11-10,17.210,17.320,17.240,17.020,59742
2014-11-11,17.240,17.240,16.890,16.540,80252
2014-11-12,16.770,16.990,16.980,16.750,39115
2014-11-13,16.950,16.980,16.900,16.560,58217
2014-11-14,16.900,17.230,17.170,16.700,83863
2014-11-17,17.200,17.340,17.140,16.940,59703
2014-11-18,17.070,17.300,17.140,17.050,29017
2014-11-19,17.080,17.150,17.050,16.940,31362
2014-11-20,17.000,17.200,17.080,16.960,32520
