Date,Opening,High,Closing,Low,Volume
2013-12-19,10.100,10.250,10.220,10.060,13821
2013-12-20,10.090,10.400,10.080,9.980,9160
2013-12-23,10.000,10.290,10.120,10.000,5394
2013-12-24,10.050,10.200,10.130,9.970,6967
2013-12-25,10.150,10.220,10.190,10.070,7103
2013-12-26,10.190,10.240,10.150,9.980,9518
2013-12-27,10.060,10.200,10.180,10.010,6907
2013-12-30,10.180,10.450,10.140,10.100,12532
2013-12-31,10.140,10.210,10.150,10.020,7993
2014-01-02,10.130,10.180,10.150,10.050,6958
2014-01-03,10.030,10.260,10.130,10.030,4549
2014-01-06,10.150,10.150,9.710,9.710,12297
2014-01-07,9.880,9.930,9.740,9.550,9390
2014-01-08,9.650,9.840,9.830,9.650,7885
2014-01-09,9.730,9.980,9.900,9.730,13230
2014-01-10,9.920,9.940,9.900,9.750,7419
2014-01-13,9.850,10.100,10.050,9.820,12119
2014-01-14,10.110,10.110,10.000,9.860,12302
2014-01-15,10.050,10.050,9.940,9.870,4332
2014-01-16,9.920,10.000,9.940,9.900,3755
2014-01-17,9.860,9.900,9.830,9.820,7269
2014-01-20,9.740,9.870,9.650,9.650,2895
2014-01-21,9.650,9.850,9.730,9.650,2857
2014-01-22,9.730,9.950,9.880,9.730,6590
2014-01-23,9.840,10.050,10.030,9.830,15415
2014-01-24,10.030,10.080,9.990,9.950,10008
2014-01-27,9.990,10.060,10.010,9.950,5355
2014-01-28,10.080,10.220,10.160,10.000,10551
2014-01-29,10.190,10.330,10.310,10.160,14150
2014-01-30,10.330,10.340,10.200,10.180,5567
2014-02-07,10.200,10.690,10.490,10.120,11824
2014-02-10,10.480,10.620,10.500,10.430,15357
2014-02-11,10.580,10.620,10.530,10.410,10964
2014-02-12,10.530,10.700,10.630,10.520,16376
2014-02-13,10.670,10.890,10.670,10.630,20517
2014-02-14,10.620,10.780,10.690,10.420,15886
2014-02-17,10.920,11.400,11.130,10.920,43279
2014-02-18,11.040,11.250,11.110,11.010,23450
2014-02-19,11.100,11.200,11.080,10.930,19904
2014-02-20,11.010,11.060,10.830,10.770,16726
2014-02-21,10.760,10.830,10.600,10.600,13582
2014-02-24,10.520,11.050,11.010,10.510,21068
2014-02-25,11.100,11.120,10.690,10.550,25025
2014-02-26,10.660,10.760,10.750,10.280,15374
2014-02-27,10.750,11.040,10.680,10.610,16080
2014-02-28,10.680,11.060,11.030,10.680,27136
2014-03-03,11.000,11.280,11.080,10.930,37450
2014-03-04,11.040,11.060,11.030,10.880,18162
2014-03-05,10.990,11.250,10.930,10.910,15444
2014-03-06,10.770,10.950,10.750,10.680,17582
